100	0.346342	0.370169	0.281302	0.26159	0.551718	0.757503	0.639974	-1.71294	1.97409	1.97442	14.9933	-0.00737003	0.004546	15.0038	-0.303932	-0.303928	-0.309998	-0.31	0.016951	0.0169006	0.0168853	0.0169335	
200	0.329008	0.353149	0.263899	0.24395	0.443949	0.768992	0.652979	-1.76823	4.76148	4.76135	14.993	-0.00850414	0.00226507	15.0003	-0.304001	-0.304001	-0.310056	-0.310055	0.0175478	0.0173849	0.0173442	0.0175091	
300	0.327469	0.351771	0.261409	0.241309	0.48241	0.77685	0.66058	-1.74391	6.85622	6.85556	14.9928	-0.00933234	3.9434e-05	14.997	-0.304004	-0.304003	-0.309988	-0.309989	0.0180916	0.0178188	0.0177528	0.0180324	
400	0.325589	0.349962	0.259563	0.239398	0.486022	0.788391	0.671873	-1.73535	8.22452	8.22319	14.9925	-0.0101586	-0.00184885	14.9942	-0.303994	-0.303992	-0.309977	-0.309979	0.0185802	0.0182117	0.0181207	0.0185018	
500	0.323877	0.348341	0.257837	0.237593	0.50771	0.802596	0.685086	-1.71377	9.07403	9.07207	14.9921	-0.0109518	-0.00345164	14.9918	-0.304001	-0.304	-0.310001	-0.310002	0.0190174	0.0185667	0.0184516	0.0189203	
600	0.32268	0.347348	0.256155	0.235748	0.551943	0.773846	0.660577	-1.684	9.59028	9.58762	14.9917	-0.0116977	-0.00484099	14.9897	-0.304001	-0.304003	-0.309997	-0.309996	0.0194068	0.0188864	0.0187484	0.0192927	
700	0.320423	0.345065	0.253359	0.232942	0.530655	0.812091	0.693893	-1.70438	9.90092	9.89751	14.9913	-0.012415	-0.00605707	14.9878	-0.304001	-0.304	-0.309993	-0.309995	0.0197535	0.019174	0.0190138	0.0196235	
800	0.319514	0.344276	0.25222	0.2317	0.601516	0.837304	0.715288	-1.65892	10.087	10.0828	14.9909	-0.0130667	-0.00715253	14.9862	-0.303796	-0.303764	-0.309999	-0.310022	0.0200613	0.0194317	0.0192503	0.0199167	
900	0.317607	0.342436	0.251034	0.230494	0.554769	0.799487	0.684586	-1.6708	10.1982	10.1932	14.9905	-0.0136606	-0.0081352	14.9847	-0.303999	-0.303999	-0.31	-0.31	0.0203346	0.019662	0.0194607	0.0201765	
1000	0.316931	0.341831	0.249316	0.228697	0.575527	0.794574	0.679813	-1.67033	10.2646	10.2589	14.9902	-0.0141875	-0.00899593	14.9834	-0.304	-0.304	-0.309999	-0.309999	0.0205766	0.0198674	0.019648	0.020406	
1100	0.31542	0.340304	0.248998	0.228409	0.53747	0.813468	0.697647	-1.6796	10.3043	10.2977	14.9898	-0.0147116	-0.00982634	14.9822	-0.303998	-0.303998	-0.310028	-0.310027	0.0207908	0.0200511	0.0198133	0.020609	
1200	0.315473	0.340416	0.247838	0.22719	0.582385	0.806393	0.690745	-1.66074	10.328	10.3208	14.9895	-0.0151422	-0.0105215	14.9811	-0.304001	-0.304001	-0.31	-0.31	0.0209801	0.0202138	0.0199602	0.0207873	
1300	0.313149	0.338268	0.24621	0.225433	0.607212	0.814723	0.698627	-1.63155	10.3421	10.3342	14.9892	-0.0155436	-0.0111702	14.9802	-0.30388	-0.303873	-0.310002	-0.310004	0.0211473	0.0203587	0.02009	0.0209449	
1400	0.313323	0.338427	0.246245	0.225503	0.595225	0.787795	0.675802	-1.63777	10.3507	10.3421	14.9889	-0.0159221	-0.0117412	14.9793	-0.303995	-0.303996	-0.310001	-0.31	0.0212938	0.0204873	0.0202049	0.0210836	
1500	0.31306	0.338169	0.245998	0.225256	0.597188	0.791348	0.679064	-1.63475	10.3558	10.3466	14.9887	-0.0162688	-0.0122314	14.9785	-0.303997	-0.303997	-0.310003	-0.310002	0.0214232	0.0206016	0.0203067	0.0212052	
1600	0.312493	0.337671	0.244341	0.223517	0.612987	0.786019	0.673633	-1.64054	10.359	10.3491	14.9884	-0.0166108	-0.0126886	14.9778	-0.30399	-0.303992	-0.310002	-0.309999	0.0215372	0.0207033	0.0203961	0.021312	
1700	0.311182	0.336267	0.243457	0.222696	0.573776	0.829348	0.711743	-1.65988	10.361	10.3503	14.9882	-0.0169343	-0.0131438	14.9773	-0.304	-0.304	-0.309999	-0.31	0.021637	0.0207934	0.0204744	0.0214063	
1800	0.310042	0.335295	0.241682	0.220803	0.613414	0.791938	0.678975	-1.63783	10.3621	10.3511	14.9881	-0.0171504	-0.0133974	14.9767	-0.304	-0.304	-0.31	-0.31	0.0217242	0.020872	0.0205456	0.0214889	
1900	0.311941	0.337132	0.243732	0.222905	0.617284	0.794233	0.681074	-1.63467	10.363	10.3513	14.9878	-0.0174579	-0.0138499	14.9762	-0.304002	-0.304003	-0.309997	-0.309996	0.0218023	0.0209436	0.020605	0.0215604	
2000	0.309119	0.334399	0.240714	0.219816	0.614056	0.79741	0.683925	-1.63594	10.3634	10.3513	14.9877	-0.0176047	-0.0140394	14.9758	-0.304	-0.304	-0.31	-0.31	0.0218693	0.0210046	0.0206605	0.0216247	
