100	0.388178	0.482788	0.307934	0.241798	2.52505	2.18856	1.58671	-5.51486	-0.0271804	-0.0274709	29.9892	-0.0127958	0.0080693	30.0057	-0.608004	-0.608003	-0.620005	-0.620006	0.0169053	0.0169408	0.0169161	0.0168825	
200	0.362891	0.460627	0.280672	0.212281	2.38752	2.33407	1.69677	-5.55166	-0.0302196	-0.033521	29.9877	-0.0176969	0.00657832	30.0001	-0.608002	-0.608	-0.620005	-0.620006	0.017433	0.0175008	0.0174166	0.0173741	
300	0.359329	0.457505	0.277077	0.208348	2.37181	2.36243	1.71711	-5.54432	-0.0204063	-0.0270925	29.9865	-0.0219954	0.00506276	29.9948	-0.608003	-0.608	-0.620007	-0.620009	0.0179079	0.0180084	0.0178642	0.0178152	
400	0.356168	0.454662	0.273276	0.204394	2.34823	2.29649	1.66717	-5.54882	-0.0108484	-0.0208952	29.9854	-0.0259441	0.00391551	29.9902	-0.607998	-0.607978	-0.619744	-0.619795	0.0183341	0.0184675	0.0182668	0.0182109	
500	0.355565	0.454452	0.271384	0.202267	2.40132	2.33939	1.69256	-5.56578	-0.0035428	-0.0178307	29.9844	-0.0295385	0.00273938	29.9865	-0.608004	-0.608	-0.619992	-0.619997	0.0187153	0.0188813	0.018623	0.0185674	
600	0.353912	0.453697	0.270444	0.200608	2.51758	2.23635	1.61504	-5.46847	0.00159906	-0.0165395	29.9833	-0.0329281	0.00180106	29.983	-0.607999	-0.608	-0.62	-0.619999	0.0190571	0.0192548	0.0189412	0.0188836	
700	0.350886	0.451304	0.265405	0.19515	2.53222	2.18272	1.57207	-5.47067	0.00521163	-0.0158738	29.9822	-0.0361618	0.00129557	29.9797	-0.607806	-0.608004	-0.619051	-0.61898	0.0193638	0.019592	0.0192287	0.0191635	
800	0.346866	0.44753	0.262958	0.19249	2.48319	2.27328	1.63995	-5.47177	0.00894787	-0.0174517	29.9815	-0.0391415	0.000421676	29.9775	-0.608	-0.608	-0.62	-0.62	0.0196308	0.0198928	0.0194762	0.0194183	
900	0.347607	0.448469	0.260783	0.190348	2.55642	2.32551	1.66885	-5.51216	0.010569	-0.0177378	29.9802	-0.0416829	0.000161489	29.9747	-0.608	-0.608	-0.62	-0.62	0.0198762	0.020161	0.0197034	0.0196375	
1000	0.345634	0.446383	0.261862	0.191331	2.46706	2.29775	1.65539	-5.4702	0.0138725	-0.0200625	29.9797	-0.0444741	-0.000621594	29.9729	-0.608	-0.608	-0.62	-0.62	0.020084	0.0204047	0.0198951	0.0198368	
1100	0.346915	0.447778	0.260077	0.189647	2.54221	2.35198	1.68573	-5.51608	0.0152074	-0.0221358	29.9789	-0.0465094	-0.00111541	29.9712	-0.608007	-0.608	-0.619988	-0.619997	0.0202743	0.0206166	0.0200689	0.0200155	
1200	0.347848	0.448183	0.264602	0.194371	2.45705	2.31452	1.66541	-5.467	0.0168848	-0.022069	29.978	-0.0486549	-0.00107693	29.9689	-0.608004	-0.608	-0.620013	-0.620015	0.0204421	0.020808	0.0202267	0.020162	
1300	0.345646	0.447291	0.259716	0.188648	2.64721	2.26959	1.62241	-5.42353	0.0194504	-0.0253889	29.9776	-0.051168	-0.00182538	29.9678	-0.607996	-0.608008	-0.620003	-0.619992	0.0205849	0.0209856	0.0203542	0.0203004	
1400	0.341382	0.443591	0.254932	0.183488	2.62943	2.26811	1.62096	-5.43152	0.0200068	-0.0274199	29.9768	-0.0523479	-0.00221163	29.967	-0.608	-0.608	-0.62	-0.62	0.0207165	0.0211282	0.0204715	0.0204269	
1500	0.342546	0.443932	0.255377	0.184593	2.5174	2.38767	1.70787	-5.52153	0.0212442	-0.0279578	29.9758	-0.053771	-0.00247269	29.9656	-0.608001	-0.608	-0.619997	-0.619999	0.0208367	0.0212606	0.0205769	0.0205338	
1600	0.342076	0.443403	0.256047	0.185299	2.47668	2.29348	1.63949	-5.51531	0.0233603	-0.0275574	29.9756	-0.0557748	-0.00196982	29.9638	-0.608	-0.608	-0.62	-0.62	0.0209329	0.0213861	0.0206768	0.0206175	
1700	0.347562	0.448816	0.261887	0.191142	2.63461	2.27746	1.62345	-5.42691	0.0239747	-0.03043	29.9756	-0.0573059	-0.00225942	29.9629	-0.608001	-0.608001	-0.62	-0.619999	0.0210154	0.0214938	0.0207549	0.0206973	
1800	0.344051	0.445783	0.258	0.18692	2.62212	2.28753	1.63087	-5.43228	0.0245827	-0.0323581	29.9749	-0.0580988	-0.00273779	29.9627	-0.608	-0.608	-0.62	-0.62	0.021093	0.0215803	0.0208193	0.0207726	
1900	0.340758	0.442935	0.254353	0.182961	2.61011	2.29801	1.63848	-5.43743	0.0257247	-0.0337952	29.9743	-0.0590017	-0.00320104	29.9624	-0.608	-0.608	-0.62	-0.62	0.021163	0.0216597	0.0208765	0.0208404	
2000	0.337821	0.440393	0.251096	0.179428	2.59935	2.30804	1.64564	-5.44213	0.0270158	-0.0351063	29.9738	-0.0599737	-0.00365113	29.962	-0.608	-0.608	-0.62	-0.62	0.021226	0.0217326	0.0209271	0.0209014	
2100	0.335197	0.438121	0.248184	0.176272	2.58968	2.31764	1.65241	-5.44646	0.0283493	-0.036381	29.9732	-0.060985	-0.0040876	29.9615	-0.608	-0.608	-0.62	-0.62	0.0212829	0.0217996	0.020972	0.0209563	
2200	0.332851	0.436087	0.245575	0.173447	2.58096	2.3268	1.6588	-5.45045	0.0296889	-0.0376407	29.9727	-0.0620127	-0.00451005	29.961	-0.608	-0.608	-0.62	-0.62	0.021334	0.0218613	0.0210117	0.0210058	
2300	0.339737	0.441344	0.253603	0.182664	2.46562	2.35175	1.67834	-5.51808	0.0313781	-0.0371424	29.9723	-0.0631938	-0.0046148	29.9596	-0.607947	-0.60795	-0.619995	-0.619986	0.0213792	0.0219202	0.0210481	0.0210375	
2400	0.345781	0.447485	0.257522	0.186666	2.66866	2.26171	1.60112	-5.47725	0.0321689	-0.036909	29.9729	-0.0640774	-0.00374819	29.9587	-0.608	-0.608001	-0.62	-0.619999	0.0214031	0.0219667	0.0210888	0.0210597	
2500	0.344601	0.446442	0.256245	0.185302	2.66	2.25714	1.59722	-5.47964	0.0306726	-0.0367023	29.973	-0.0640445	-0.00271829	29.9581	-0.608	-0.608	-0.62	-0.62	0.0214266	0.0219954	0.0211286	0.021081	
2600	0.343437	0.445414	0.254986	0.183956	2.6515	2.25351	1.59407	-5.48207	0.0294	-0.036438	29.9732	-0.0641059	-0.00183568	29.9576	-0.608	-0.608	-0.62	-0.62	0.0214477	0.0220216	0.0211647	0.0211	
2700	0.342393	0.444489	0.253857	0.182749	2.64371	2.25024	1.59122	-5.48435	0.0283371	-0.0361147	29.9732	-0.0642354	-0.00107678	29.9572	-0.608	-0.608	-0.62	-0.62	0.0214665	0.0220455	0.0211975	0.0211169	
2800	0.34566	0.44701	0.259884	0.189134	2.60193	2.29984	1.63361	-5.43887	0.0282081	-0.0374722	29.9731	-0.0645313	-0.00149483	29.9572	-0.608	-0.608	-0.62	-0.62	0.021485	0.0220692	0.0212114	0.021135	
2900	0.34489	0.446354	0.259004	0.188168	2.60098	2.30737	1.63936	-5.44059	0.0293615	-0.0388342	29.9728	-0.0649866	-0.00231462	29.9576	-0.608	-0.608	-0.62	-0.62	0.0215029	0.0220926	0.0212158	0.0211534	
3000	0.344186	0.445754	0.258197	0.187285	2.60007	2.31458	1.64479	-5.44216	0.030675	-0.0399302	29.9725	-0.0654393	-0.00304043	29.9578	-0.608	-0.608	-0.62	-0.62	0.0215189	0.0221141	0.0212191	0.0211701	
3100	0.343556	0.445217	0.257471	0.186492	2.59927	2.3214	1.64987	-5.4436	0.031953	-0.0409581	29.9722	-0.0658843	-0.00368707	29.958	-0.608	-0.608	-0.62	-0.62	0.0215333	0.0221339	0.0212216	0.0211851	
3200	0.342991	0.444735	0.256818	0.185779	2.59856	2.32786	1.65462	-5.44493	0.0331613	-0.0419542	29.972	-0.0663178	-0.00426648	29.9581	-0.608	-0.608	-0.62	-0.62	0.0215463	0.0221522	0.0212233	0.0211986	
3300	0.342484	0.444303	0.256229	0.185138	2.59793	2.33396	1.65908	-5.44615	0.0343001	-0.042921	29.9718	-0.0667372	-0.00478847	29.9582	-0.608	-0.608	-0.62	-0.62	0.0215579	0.0221691	0.0212244	0.0212108	
