8400	0.114495	-0.0133223	0.0148998	-0.00224292	0.177981
8500	0.116053	-0.0135386	0.0149011	-0.00224399	0.177319
8600	0.117612	-0.0137551	0.0149024	-0.00224499	0.176648
8700	0.11917	-0.0139716	0.0149036	-0.00224594	0.175969
8800	0.120728	-0.0141883	0.0149047	-0.00224684	0.175283
8900	0.122287	-0.0144051	0.0149058	-0.00224769	0.17459
9000	0.123846	-0.0146219	0.0149068	-0.00224849	0.17389
9100	0.125405	-0.0148389	0.0149078	-0.00224925	0.173184
9200	0.126964	-0.015056	0.0149087	-0.00224996	0.172472
9300	0.128523	-0.015279	0.0149173	-0.0022422	0.17103
9400	0.130083	-0.0154954	0.0149164	-0.00224364	0.170431
9500	0.131642	-0.015712	0.0149158	-0.0022451	0.169813
9600	0.133202	-0.0159287	0.0149158	-0.00224654	0.169176
9700	0.134761	-0.0161456	0.0149159	-0.00224787	0.168521
9800	0.136321	-0.0163627	0.0149161	-0.00224908	0.167851
9900	0.13788	-0.0165799	0.0149163	-0.00225016	0.167167
10000	0.13944	-0.0167972	0.0149166	-0.00225114	0.166471
10100	0.141	-0.0170146	0.0149169	-0.00225203	0.165764
10200	0.14256	-0.0172321	0.0149173	-0.00225283	0.165048
10300	0.14412	-0.0174498	0.0149176	-0.00225355	0.164323
10400	0.14568	-0.0176675	0.0149179	-0.00225421	0.16359
10500	0.147239	-0.0178853	0.0149183	-0.00225481	0.162851
10600	0.1488	-0.0181031	0.0149186	-0.00225536	0.162106
10700	0.15036	-0.0183211	0.0149189	-0.00225586	0.161355
10800	0.15192	-0.0185391	0.0149193	-0.00225632	0.1606
10900	0.15348	-0.0187571	0.0149196	-0.00225674	0.15984
11000	0.15504	-0.0189753	0.0149199	-0.00225713	0.159076
11100	0.1566	-0.0191935	0.0149202	-0.00225748	0.158309
11200	0.15816	-0.0194117	0.0149205	-0.00225781	0.157539
11300	0.159721	-0.01963	0.0149208	-0.00225812	0.156766
11400	0.161281	-0.0198484	0.0149211	-0.0022584	0.155991
11500	0.162841	-0.0200668	0.0149214	-0.00225866	0.155213
11600	0.164402	-0.0202852	0.0149217	-0.00225891	0.154432
11700	0.165962	-0.0205037	0.0149219	-0.00225913	0.15365
11800	0.167523	-0.0207222	0.0149222	-0.00225935	0.152866
11900	0.169083	-0.0209408	0.0149224	-0.00225954	0.152081
12000	0.170644	-0.0211594	0.0149227	-0.00225973	0.151294
12100	0.172204	-0.0213781	0.0149229	-0.0022599	0.150505
12200	0.173765	-0.0215967	0.0149231	-0.00226006	0.149716
12300	0.175325	-0.0218155	0.0149234	-0.00226021	0.148925
12400	0.176886	-0.0220342	0.0149236	-0.00226036	0.148133
12500	0.178446	-0.022253	0.0149238	-0.00226049	0.147339
12600	0.180007	-0.0224719	0.014924	-0.00226062	0.146545
12700	0.181568	-0.0226907	0.0149242	-0.00226074	0.145751
12800	0.183128	-0.0229096	0.0149244	-0.00226085	0.144955
12900	0.184689	-0.0231286	0.0149246	-0.00226095	0.144158
13000	0.18625	-0.0233475	0.0149247	-0.00226105	0.143361
13100	0.18781	-0.0235665	0.0149249	-0.00226115	0.142563
13200	0.189371	-0.0237855	0.0149251	-0.00226124	0.141765
13300	0.190932	-0.0240046	0.0149253	-0.00226132	0.140966
13400	0.192493	-0.0242237	0.0149254	-0.0022614	0.140166
13500	0.194053	-0.0244428	0.0149256	-0.00226148	0.139366
13600	0.195614	-0.0246619	0.0149257	-0.00226155	0.138566
13700	0.197175	-0.0248811	0.0149259	-0.00226162	0.137764
13800	0.198736	-0.0251003	0.0149261	-0.00226169	0.136963
13900	0.200296	-0.0253195	0.0149262	-0.00226175	0.136161
14000	0.201857	-0.0255388	0.0149263	-0.00226181	0.135359
14100	0.203418	-0.0257581	0.0149265	-0.00226186	0.134556
14200	0.204979	-0.0259774	0.0149266	-0.00226192	0.133754
14300	0.20654	-0.0261967	0.0149268	-0.00226197	0.13295
14400	0.208101	-0.0264161	0.0149269	-0.00226202	0.132147
14500	0.209662	-0.0266355	0.014927	-0.00226206	0.131343
14600	0.211222	-0.0268549	0.0149272	-0.00226211	0.130539
14700	0.212783	-0.0270744	0.0149273	-0.00226215	0.129735
14800	0.214344	-0.0272938	0.0149274	-0.00226219	0.128931
14900	0.215905	-0.0275133	0.0149275	-0.00226223	0.128126
15000	0.217466	-0.0277328	0.0149277	-0.00226227	0.127321
15100	0.219027	-0.0279524	0.0149278	-0.0022623	0.126516
15200	0.220588	-0.028172	0.0149279	-0.00226234	0.125711
15300	0.222149	-0.0283916	0.014928	-0.00226237	0.124905
15400	0.22371	-0.0286112	0.0149281	-0.0022624	0.1241
15500	0.225271	-0.0288308	0.0149282	-0.00226243	0.123294
15600	0.226832	-0.0290505	0.0149284	-0.00226246	0.122488
15700	0.228393	-0.0292702	0.0149285	-0.00226249	0.121682
15800	0.229954	-0.0294899	0.0149286	-0.00226251	0.120876
15900	0.231515	-0.0297097	0.0149287	-0.00226254	0.12007
16000	0.233075	-0.0299295	0.0149288	-0.00226257	0.119264
16100	0.234636	-0.0301493	0.0149289	-0.00226259	0.118458
16200	0.236197	-0.0303691	0.014929	-0.00226261	0.117651
16300	0.237758	-0.0305889	0.0149291	-0.00226264	0.116845
16400	0.239319	-0.0308088	0.0149292	-0.00226266	0.116038
16500	0.24088	-0.0310287	0.0149293	-0.00226268	0.115231
16600	0.242441	-0.0312486	0.0149294	-0.0022627	0.114425
16700	0.244003	-0.0314686	0.0149295	-0.00226272	0.113618
16800	0.245564	-0.0316885	0.0149296	-0.00226274	0.112811
16900	0.247125	-0.0319085	0.0149297	-0.00226276	0.112004
17000	0.248686	-0.0321285	0.0149298	-0.00226277	0.111197
17100	0.250247	-0.0323486	0.0149299	-0.00226279	0.11039
