7500	0.100482	-0.0628204	0.290728	10.5482	-16.5222	-2.72701
7600	0.102038	-0.0630317	0.290688	10.5487	-16.5317	-2.72926
7700	0.103594	-0.0632431	0.290648	10.5491	-16.5407	-2.73142
7800	0.105151	-0.0634547	0.290608	10.5494	-16.5491	-2.7335
7900	0.106708	-0.0636665	0.290568	10.5498	-16.5571	-2.73551
8000	0.108265	-0.0638785	0.290529	10.5501	-16.5645	-2.73745
8100	0.109822	-0.0640907	0.290489	10.5504	-16.5716	-2.73933
8200	0.11138	-0.064303	0.29045	10.5507	-16.5782	-2.74114
8300	0.112938	-0.0645155	0.290411	10.551	-16.5844	-2.7429
8400	0.114495	-0.0647281	0.290372	10.5513	-16.5903	-2.74459
8500	0.116053	-0.0649409	0.290333	10.5515	-16.5958	-2.74624
8600	0.117612	-0.0651538	0.290293	10.5518	-16.601	-2.74784
8700	0.11917	-0.0653669	0.290255	10.552	-16.6059	-2.74939
8800	0.120728	-0.06558	0.290216	10.5522	-16.6105	-2.7509
8900	0.122287	-0.0657933	0.290177	10.5524	-16.6149	-2.75236
9000	0.123846	-0.0660067	0.290138	10.5526	-16.6189	-2.75379
9100	0.125405	-0.0662202	0.290099	10.5528	-16.6227	-2.75518
9200	0.126964	-0.0664338	0.290061	10.553	-16.6263	-2.75654
9300	0.128523	-0.0666515	0.290012	10.5555	-16.6292	-2.7585
9400	0.130083	-0.0668648	0.289975	10.5553	-16.6323	-2.75966
9500	0.131642	-0.0670781	0.289937	10.5552	-16.6354	-2.76083
9600	0.133202	-0.0672916	0.2899	10.5551	-16.6383	-2.762
9700	0.134761	-0.0675053	0.289862	10.555	-16.6411	-2.76316
9800	0.136321	-0.067719	0.289825	10.555	-16.6437	-2.76429
9900	0.13788	-0.0679329	0.289787	10.5549	-16.6461	-2.76541
10000	0.13944	-0.0681469	0.289749	10.5549	-16.6483	-2.76651
10100	0.141	-0.068361	0.289711	10.5549	-16.6504	-2.7676
10200	0.14256	-0.0685752	0.289673	10.5549	-16.6524	-2.76867
10300	0.14412	-0.0687895	0.289636	10.5549	-16.6542	-2.76972
10400	0.14568	-0.0690039	0.289598	10.5549	-16.6559	-2.77076
10500	0.147239	-0.0692183	0.28956	10.5549	-16.6574	-2.77179
10600	0.1488	-0.0694329	0.289522	10.5549	-16.6588	-2.7728
10700	0.15036	-0.0696475	0.289484	10.5549	-16.6602	-2.7738
10800	0.15192	-0.0698621	0.289446	10.5549	-16.6614	-2.77478
10900	0.15348	-0.0700769	0.289408	10.555	-16.6626	-2.77575
11000	0.15504	-0.0702917	0.28937	10.555	-16.6636	-2.77672
11100	0.1566	-0.0705065	0.289331	10.555	-16.6646	-2.77767
11200	0.15816	-0.0707214	0.289293	10.555	-16.6655	-2.77861
11300	0.159721	-0.0709364	0.289255	10.555	-16.6663	-2.77954
11400	0.161281	-0.0711514	0.289217	10.5551	-16.6671	-2.78046
11500	0.162841	-0.0713664	0.289179	10.5551	-16.6678	-2.78137
11600	0.164402	-0.0715815	0.289141	10.5551	-16.6684	-2.78227
11700	0.165962	-0.0717967	0.289103	10.5551	-16.669	-2.78317
11800	0.167523	-0.0720119	0.289065	10.5551	-16.6695	-2.78405
